cpu		mem	  time
 63,6   0,3   00,07  
100,0   0,4   00,18  
100,0   0,5   00,29  
 90,9   0,6   00,39  
100,0   0,8   00,49  
100,0   0,9   00,60  
100,0   1,0   00,70  
100,0   1,1   00,81  
 90,9   1,2   00,91  
100,0   1,3   01,02  
 90,9   1,5   01,12  
100,0   1,6   01,22  
100,0   1,7   01,33  
100,0   1,8   01,44  
 90,9   1,9   01,54  
100,0   2,0   01,64  
100,0   2,2   01,75  
100,0   2,3   01,86  
 90,9   2,4   01,96  
100,0   2,5   02,07  
 90,9   2,6   02,17  
100,0   2,7   02,27  
100,0   2,9   02,38  
100,0   3,0   02,48  
100,0   3,1   02,59  
100,0   3,2   02,69  
100,0   3,3   02,80  
100,0   3,9   02,90  
100,0   5,2   03,01  
100,0   7,5   03,12  
 90,9   8,0   03,22  
100,0   8,2   03,33  
100,0   9,1   03,44  
 81,8   9,9   03,53  
100,0   9,9   03,64  
100,0   9,9   03,75  
100,0   9,9   03,85  
100,0   9,9   03,96  
 90,9   9,9   04,06  
100,0   9,9   04,17  
100,0  10,2   04,28  
100,0  10,5   04,38  
100,0  11,2   04,48  
 90,9  11,2   04,58  
100,0  11,2   04,69  
 90,9  11,2   04,79  
100,0  11,2   04,90  
 90,9  11,2   05,00  
100,0  11,2   05,10  
100,0  11,2   05,21  
 90,9  12,0   05,31  
100,0  12,4   05,43  
 90,9  12,4   05,53  
100,0  12,4   05,64  
 90,9  12,4   05,74  
100,0  12,4   05,84  
100,0  12,4   05,95  
100,0  12,7   06,05  
100,0  13,0   06,15  
100,0  13,0   06,26  
100,0  13,0   06,36  
100,0  13,0   06,47  
100,0  13,0   06,57  
100,0  13,0   06,68  
100,0  13,2   06,78  
100,0  13,7   06,89  
 90,9  14,0   06,99  
100,0  14,0   07,09  
100,0  14,0   07,20  
100,0  14,0   07,30  
 90,9  14,0   07,40  
100,0  14,0   07,51  
 90,9  14,5   07,61  
100,0  14,5   07,72  
100,0  14,5   07,82  
100,0  14,5   07,93  
100,0  14,5   08,03  
 90,9  14,5   08,13  
100,0  14,7   08,24  
 90,9  14,9   08,34  
100,0  14,9   08,45  
100,0  14,9   08,55  
 90,9  14,9   08,65  
100,0  14,9   08,76  
 90,9  14,9   08,86  
100,0  15,3   08,97  
100,0  15,3   09,07  
 90,9  15,3   09,17  
100,0  15,3   09,28  
 90,9  15,3   09,38  
100,0  15,3   09,49  
100,0  15,6   09,59  
100,0  15,8   09,70  
100,0  15,8   09,80  
100,0  15,8   09,91  
100,0  15,8   10,01  
100,0  15,8   10,12  
100,0  15,8   10,22  
100,0  16,1   10,32  
100,0  16,3   10,43  
100,0  16,3   10,53  
100,0  16,3   10,64  
100,0  16,3   10,74  
 90,9  16,3   10,84  
100,0  16,3   10,94  
100,0  16,7   11,05  
 90,9  16,7   11,15  
100,0  16,7   11,26  
 90,9  16,7   11,36  
100,0  16,7   11,46  
100,0  16,7   11,57  
 90,9  17,0   11,67  
100,0  17,2   11,78  
 90,9  17,2   11,88  
100,0  17,2   11,98  
100,0  17,2   12,09  
 90,9  17,2   12,19  
100,0  17,2   12,30  
 90,9  17,5   12,40  
100,0  17,7   12,50  
100,0  17,7   12,61  
100,0  17,7   12,71  
100,0  17,7   12,81  
100,0  17,7   12,92  
100,0  17,7   13,03  
 90,9  18,1   13,13  
100,0  18,1   13,24  
100,0  18,1   13,34  
 90,9  18,1   13,44  
100,0  18,1   13,55  
 90,9  18,1   13,65  
100,0  18,4   13,76  
 90,9  18,4   13,86  
100,0  18,4   13,96  
100,0  18,4   14,06  
100,0  18,4   14,17  
100,0  18,4   14,27  
 90,9  18,6   14,37  
100,0  18,6   14,48  
100,0  18,6   14,58  
