CPU		MEM	  TIME
 54,5   0,3   00,06
100,0   0,4   00,17
 90,9   0,5   00,27
100,0   0,6   00,37
100,0   0,7   00,48
 90,9   0,8   00,58
100,0   0,9   00,69
100,0   1,0   00,79
100,0   1,2   00,90
 90,9   1,3   01,00
100,0   1,4   01,11
100,0   1,5   01,22
 90,9   1,6   01,32
100,0   1,7   01,42
100,0   1,8   01,53
100,0   2,0   01,64
 81,8   2,1   01,73
100,0   2,2   01,85
 90,9   2,3   01,95
100,0   2,4   02,05
100,0   2,5   02,16
100,0   2,6   02,27
 90,9   2,7   02,37
100,0   2,9   02,47
100,0   3,0   02,58
100,0   3,1   02,69
 90,9   3,2   02,79
100,0   3,3   02,89
 90,9   3,8   02,99
100,0   4,9   03,10
 90,9   6,6   03,20
100,0   6,6   03,31
100,0   7,2   03,42
 90,9   8,0   03,52
100,0   8,6   03,62
100,0   8,6   03,73
100,0   8,6   03,83
100,0   8,6   03,94
100,0   8,6   04,04
100,0   8,6   04,15
100,0   8,6   04,26
100,0   9,1   04,36
100,0   9,3   04,47
100,0   9,9   04,58
 90,9   9,9   04,68
100,0   9,9   04,79
 90,9   9,9   04,89
100,0   9,9   05,00
100,0   9,9   05,10
100,0   9,9   05,21
100,0  10,0   05,31
100,0  11,0   05,43
 90,9  11,0   05,53
100,0  11,0   05,63
100,0  11,0   05,74
100,0  11,0   05,84
100,0  11,0   05,95
100,0  11,2   06,05
 90,9  11,6   06,15
100,0  11,7   06,26
100,0  11,7   06,37
 90,9  11,7   06,47
100,0  11,7   06,58
 90,9  11,7   06,68
100,0  11,7   06,79
100,0  12,2   06,90
100,0  12,6   07,01
 90,9  12,6   07,11
100,0  12,6   07,22
100,0  12,6   07,32
100,0  12,6   07,43
100,0  12,6   07,53
100,0  13,2   07,64
100,0  13,2   07,74
100,0  13,2   07,85
100,0  13,2   07,96
100,0  13,2   08,06
100,0  13,2   08,17
100,0  13,3   08,27
 90,9  13,5   08,37
100,0  13,5   08,48
100,0  13,5   08,59
 90,9  13,5   08,69
100,0  13,5   08,80
 90,9  13,8   08,90
100,0  14,0   09,01
100,0  14,0   09,12
 90,9  14,0   09,22
100,0  14,0   09,32
100,0  14,0   09,43
100,0  14,0   09,54
 90,9  14,3   09,64
100,0  14,4   09,74
100,0  14,4   09,85
100,0  14,4   09,96
 90,9  14,4   10,06
100,0  14,4   10,17
100,0  14,6   10,27
 90,9  14,9   10,37
100,0  14,9   10,48
 90,9  14,9   10,58
100,0  14,9   10,69
 90,9  14,9   10,79
100,0  14,9   10,89
100,0  15,2   11,01
 90,9  15,4   11,11
100,0  15,4   11,22
 90,9  15,4   11,32
100,0  15,4   11,43
 90,9  15,4   11,53
100,0  15,4   11,64
 90,9  15,7   11,74
100,0  15,8   11,85
100,0  15,8   11,95
100,0  15,8   12,06
100,0  15,8   12,17
 90,9  15,8   12,27
100,0  15,9   12,38
 90,9  16,3   12,48
100,0  16,3   12,59
100,0  16,3   12,69
100,0  16,3   12,80
100,0  16,3   12,90
100,0  16,3   13,01
100,0  16,6   13,11
100,0  16,8   13,22
 90,9  16,8   13,32
100,0  16,8   13,43
 90,9  16,8   13,53
100,0  16,8   13,64
 90,9  16,8   13,74
100,0  17,1   13,84
100,0  17,1   13,95
 90,9  17,1   14,05
100,0  17,1   14,16
100,0  17,1   14,27
100,0  17,1   14,37
 90,9  17,2   14,47
100,0  17,2   14,58
 90,9  17,2   14,68
100,0  17,2   14,79
 90,9  17,2   14,89
100,0  17,4   15,00
100,0  17,4   15,10
100,0  17,4   15,21
100,0  17,4   15,31
100,0  17,4   15,42
100,0  17,4   15,52
100,0  17,7   15,63
100,0  17,7   15,74
100,0  17,7   15,84
100,0  17,7   15,95
100,0  17,7   16,05
100,0  17,7   16,16
100,0  17,9   16,26
100,0  17,9   16,37
 90,9  17,9   16,47
100,0  17,9   16,58
 90,9  17,9   16,68
100,0  18,1   16,80
 90,9  18,1   16,90
100,0  18,1   17,00
100,0  18,1   17,11
100,0  18,1   17,21
 90,9  18,1   17,31
100,0  18,1   17,42
100,0  18,4   17,53
 90,9  18,4   17,63
100,0  18,4   17,74
 90,9  18,4   17,84
100,0  18,4   17,95
 90,9  18,4   18,05
100,0  18,6   18,17
 90,9  18,6   18,27
100,0  18,6   18,37
100,0  18,6   18,48
100,0  18,6   18,58
100,0  18,8   18,69
100,0  18,8   18,80
100,0  18,8   18,90
 90,9  18,8   19,00
100,0  18,8   19,11
100,0  18,8   19,22
100,0  19,0   19,32
100,0  19,0   19,43
100,0  19,0   19,53
100,0  19,0   19,64
100,0  19,0   19,74
100,0  19,0   19,85
 90,9  19,0   19,95
100,0  19,1   20,05
100,0  19,1   20,16
100,0  19,1   20,27
 90,9  19,1   20,37
100,0  19,1   20,48
 90,9  19,1   20,58
100,0  19,2   20,68
100,0  19,2   20,79
100,0  19,2   20,90
100,0  19,2   21,00
100,0  19,2   21,11
